gene,gene_description
PRKDC,"protein kinase, DNA-activated, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9413]"
METTL15,methyltransferase like 15 [Source:HGNC Symbol;Acc:HGNC:26606]
MTCO1P12,MT-CO1 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52014]
AC007969.1,ribosomal protein S15 (RPS15) pseudogene
SNAP23,synaptosome associated protein 23 [Source:HGNC Symbol;Acc:HGNC:11131]
NXN,nucleoredoxin [Source:HGNC Symbol;Acc:HGNC:18008]
LINC01262,long intergenic non-protein coding RNA 1262 [Source:HGNC Symbol;Acc:HGNC:50275]
Z99129.4,TEC
RPS17,ribosomal protein S17 [Source:HGNC Symbol;Acc:HGNC:10397]
HIC2,HIC ZBTB transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:18595]
AHSA2P,"activator of HSP90 ATPase homolog 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:20437]"
ATP8B3,ATPase phospholipid transporting 8B3 [Source:HGNC Symbol;Acc:HGNC:13535]
DDX1,DEAD-box helicase 1 [Source:HGNC Symbol;Acc:HGNC:2734]
TOGARAM2,TOG array regulator of axonemal microtubules 2 [Source:HGNC Symbol;Acc:HGNC:33715]
AC018738.1,ribosomal protein S28 (RPS28) pseudogene
KIAA1522,KIAA1522 [Source:HGNC Symbol;Acc:HGNC:29301]
PDE5A,phosphodiesterase 5A [Source:HGNC Symbol;Acc:HGNC:8784]
MAP3K12,mitogen-activated protein kinase kinase kinase 12 [Source:HGNC Symbol;Acc:HGNC:6851]
GPC1,glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]
LRRC40,leucine rich repeat containing 40 [Source:HGNC Symbol;Acc:HGNC:26004]
AL445471.1,novel transcript
AL390039.1,"general transcription factor IIIC, polypeptide 6, alpha 35kDa (GTF3C6) pseudogene"
MRM1,mitochondrial rRNA methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26202]
DNAJC24,DnaJ heat shock protein family (Hsp40) member C24 [Source:HGNC Symbol;Acc:HGNC:26979]
HS3ST2,heparan sulfate-glucosamine 3-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:5195]
YJU2,YJU2 splicing factor homolog [Source:HGNC Symbol;Acc:HGNC:25518]
MAU2,MAU2 sister chromatid cohesion factor [Source:HGNC Symbol;Acc:HGNC:29140]
ARNTL2,aryl hydrocarbon receptor nuclear translocator like 2 [Source:HGNC Symbol;Acc:HGNC:18984]
ASPSCR1,"ASPSCR1, UBX domain containing tether for SLC2A4 [Source:HGNC Symbol;Acc:HGNC:13825]"
HLA-DPA1,"major histocompatibility complex, class II, DP alpha 1 [Source:HGNC Symbol;Acc:HGNC:4938]"
SPINK1,"serine peptidase inhibitor, Kazal type 1 [Source:HGNC Symbol;Acc:HGNC:11244]"
RNF32,ring finger protein 32 [Source:HGNC Symbol;Acc:HGNC:17118]
TTC37,tetratricopeptide repeat domain 37 [Source:HGNC Symbol;Acc:HGNC:23639]
DDX42,DEAD-box helicase 42 [Source:HGNC Symbol;Acc:HGNC:18676]
TRAPPC6A,trafficking protein particle complex 6A [Source:HGNC Symbol;Acc:HGNC:23069]
Z97192.3,novel transcript
AC118549.1,zinc finger ZZ-type containing 3 [Source:NCBI gene;Acc:26009]
LAPTM5,lysosomal protein transmembrane 5 [Source:HGNC Symbol;Acc:HGNC:29612]
LINC00863,long intergenic non-protein coding RNA 863 [Source:HGNC Symbol;Acc:HGNC:45162]
GHDC,GH3 domain containing [Source:HGNC Symbol;Acc:HGNC:24438]
EEF1B2P3,eukaryotic translation elongation factor 1 beta 2 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:3210]
HIST1H4K,histone cluster 1 H4 family member k [Source:HGNC Symbol;Acc:HGNC:4784]
CLTB,clathrin light chain B [Source:HGNC Symbol;Acc:HGNC:2091]
BCAN,brevican [Source:HGNC Symbol;Acc:HGNC:23059]
ZNF358,zinc finger protein 358 [Source:HGNC Symbol;Acc:HGNC:16838]
SNX17,sorting nexin 17 [Source:HGNC Symbol;Acc:HGNC:14979]
F10,coagulation factor X [Source:HGNC Symbol;Acc:HGNC:3528]
PATJ,"PATJ, crumbs cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:28881]"
TRIP10,thyroid hormone receptor interactor 10 [Source:HGNC Symbol;Acc:HGNC:12304]
AL035425.4,TEC
PPA2,pyrophosphatase (inorganic) 2 [Source:HGNC Symbol;Acc:HGNC:28883]
FAM69A,family with sequence similarity 69 member A [Source:HGNC Symbol;Acc:HGNC:32213]
RLF,rearranged L-myc fusion [Source:HGNC Symbol;Acc:HGNC:10025]
ABHD14B,abhydrolase domain containing 14B [Source:HGNC Symbol;Acc:HGNC:28235]
IFIT2,interferon induced protein with tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:5409]
DNAAF2,dynein axonemal assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:20188]
RCC1L,RCC1 like [Source:HGNC Symbol;Acc:HGNC:14948]
CIDEB,cell death-inducing DFFA-like effector b [Source:HGNC Symbol;Acc:HGNC:1977]
AC008494.3,"novel transcript, antisense to PGGT1B"
CRIP1,cysteine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2360]
TFAP2A,transcription factor AP-2 alpha [Source:HGNC Symbol;Acc:HGNC:11742]
MARS,methionyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:6898]
CACNB3,calcium voltage-gated channel auxiliary subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:1403]
TSG101,tumor susceptibility 101 [Source:HGNC Symbol;Acc:HGNC:15971]
WSB1,WD repeat and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:19221]
GALNT7,polypeptide N-acetylgalactosaminyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4129]
OR2B11,olfactory receptor family 2 subfamily B member 11 [Source:HGNC Symbol;Acc:HGNC:31249]
RPL5P34,ribosomal protein L5 pseudogene 34 [Source:HGNC Symbol;Acc:HGNC:36463]
LYSMD4,LysM domain containing 4 [Source:HGNC Symbol;Acc:HGNC:26571]
ETNK2,ethanolamine kinase 2 [Source:HGNC Symbol;Acc:HGNC:25575]
GIMAP2,"GTPase, IMAP family member 2 [Source:HGNC Symbol;Acc:HGNC:21789]"
LINC02157,long intergenic non-protein coding RNA 2157 [Source:HGNC Symbol;Acc:HGNC:53018]
FZD1,frizzled class receptor 1 [Source:HGNC Symbol;Acc:HGNC:4038]
GTF3C4,general transcription factor IIIC subunit 4 [Source:HGNC Symbol;Acc:HGNC:4667]
TICAM1,toll like receptor adaptor molecule 1 [Source:HGNC Symbol;Acc:HGNC:18348]
USP42,ubiquitin specific peptidase 42 [Source:HGNC Symbol;Acc:HGNC:20068]
ABHD17AP6,abhydrolase domain containing 17A pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:34044]
LAMP2,lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]
FAM86C1,family with sequence similarity 86 member C1 [Source:HGNC Symbol;Acc:HGNC:25561]
CNN2,calponin 2 [Source:HGNC Symbol;Acc:HGNC:2156]
CIRBP,cold inducible RNA binding protein [Source:HGNC Symbol;Acc:HGNC:1982]
AC109460.3,novel transcript
GGNBP2,gametogenetin binding protein 2 [Source:HGNC Symbol;Acc:HGNC:19357]
DNAJC3-DT,DNAJC3 divergent transcript [Source:HGNC Symbol;Acc:HGNC:39808]
PPP2R3C,protein phosphatase 2 regulatory subunit B''gamma [Source:HGNC Symbol;Acc:HGNC:17485]
SATB2-AS1,SATB2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:26490]
HSD17B13,hydroxysteroid 17-beta dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:18685]
AC068669.1,novel transcript
KIAA1549L,KIAA1549 like [Source:HGNC Symbol;Acc:HGNC:24836]
C3orf70,chromosome 3 open reading frame 70 [Source:HGNC Symbol;Acc:HGNC:33731]
TGFBR3,transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]
PKDREJ,polycystin family receptor for egg jelly [Source:HGNC Symbol;Acc:HGNC:9015]
PRSS16,serine protease 16 [Source:HGNC Symbol;Acc:HGNC:9480]
MELK,maternal embryonic leucine zipper kinase [Source:HGNC Symbol;Acc:HGNC:16870]
TAF13,TATA-box binding protein associated factor 13 [Source:HGNC Symbol;Acc:HGNC:11546]
TP73,tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003]
FBXL19-AS1,FBXL19 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27557]
AC144530.1,ribosomal protein L17 (RPL17) pseudogene
AL049870.3,uncharacterized LOC101927418 [Source:NCBI gene;Acc:101927418]
MRPL44,mitochondrial ribosomal protein L44 [Source:HGNC Symbol;Acc:HGNC:16650]
STOX1,storkhead box 1 [Source:HGNC Symbol;Acc:HGNC:23508]
IKZF4,IKAROS family zinc finger 4 [Source:HGNC Symbol;Acc:HGNC:13179]
AAAS,aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666]
DMTF1,cyclin D binding myb like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:14603]
COX15,cytochrome c oxidase assembly homolog COX15 [Source:HGNC Symbol;Acc:HGNC:2263]
OTUB1,"OTU deubiquitinase, ubiquitin aldehyde binding 1 [Source:HGNC Symbol;Acc:HGNC:23077]"
ARMC9,armadillo repeat containing 9 [Source:HGNC Symbol;Acc:HGNC:20730]
AL590094.1,uncharacterized LOC105378853 [Source:NCBI gene;Acc:105378853]
SCAND1,SCAN domain containing 1 [Source:HGNC Symbol;Acc:HGNC:10566]
PRKD1,protein kinase D1 [Source:HGNC Symbol;Acc:HGNC:9407]
NECAB2,N-terminal EF-hand calcium binding protein 2 [Source:HGNC Symbol;Acc:HGNC:23746]
PARS2,"prolyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:30563]"
AC124045.1,novel transcript
STARD8,StAR related lipid transfer domain containing 8 [Source:HGNC Symbol;Acc:HGNC:19161]
NUP58,nucleoporin 58 [Source:HGNC Symbol;Acc:HGNC:20261]
CAMSAP3,calmodulin regulated spectrin associated protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29307]
FNBP1L,formin binding protein 1 like [Source:HGNC Symbol;Acc:HGNC:20851]
AC055839.1,"zinc finger, CCHC domain containing 9 (ZCCHC9) pseudogene"
AC026462.1,tropomyosin 1 (alpha) (TPM1) pseudogene
HARBI1,harbinger transposase derived 1 [Source:HGNC Symbol;Acc:HGNC:26522]
APTR,Alu-mediated CDKN1A/p21 transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:44173]
TWISTNB,TWIST neighbor [Source:HGNC Symbol;Acc:HGNC:18027]
ZNF554,zinc finger protein 554 [Source:HGNC Symbol;Acc:HGNC:26629]
UBE2V2,ubiquitin conjugating enzyme E2 V2 [Source:HGNC Symbol;Acc:HGNC:12495]
FHL2,four and a half LIM domains 2 [Source:HGNC Symbol;Acc:HGNC:3703]
TMUB1,transmembrane and ubiquitin like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21709]
CCNB1IP1,cyclin B1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:19437]
HTT,huntingtin [Source:HGNC Symbol;Acc:HGNC:4851]
BOLA1,bolA family member 1 [Source:HGNC Symbol;Acc:HGNC:24263]
AC007342.7,novel transcript
DBF4B,DBF4 zinc finger B [Source:HGNC Symbol;Acc:HGNC:17883]
AL049844.2,synaptophysin-like 1 (SYPL1) pseudogene
SOX2,SRY-box 2 [Source:HGNC Symbol;Acc:HGNC:11195]
CAPZA2,capping actin protein of muscle Z-line subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:1490]
MUC1,"mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]"
DCXR,dicarbonyl and L-xylulose reductase [Source:HGNC Symbol;Acc:HGNC:18985]
RPS27A,ribosomal protein S27a [Source:HGNC Symbol;Acc:HGNC:10417]
LAYN,layilin [Source:HGNC Symbol;Acc:HGNC:29471]
EIF4BP3,eukaryotic translation initiation factor 4B pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:37936]
AP000347.1,"glucuronidase, beta  (GUSB) pseudogene"
IL1RL2,interleukin 1 receptor like 2 [Source:HGNC Symbol;Acc:HGNC:5999]
AC008429.2,pyrophosphatase (inorganic) 1 (PPA1) pseudogene
JMJD8,jumonji domain containing 8 [Source:HGNC Symbol;Acc:HGNC:14148]
HEYL,hes related family bHLH transcription factor with YRPW motif-like [Source:HGNC Symbol;Acc:HGNC:4882]
PPP3CC,protein phosphatase 3 catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9316]
OTULIN,OTU deubiquitinase with linear linkage specificity [Source:HGNC Symbol;Acc:HGNC:25118]
ADGRA2,adhesion G protein-coupled receptor A2 [Source:HGNC Symbol;Acc:HGNC:17849]
IDH2,"isocitrate dehydrogenase (NADP(+)) 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:5383]"
MTFR1L,mitochondrial fission regulator 1 like [Source:HGNC Symbol;Acc:HGNC:28836]
GINS3,GINS complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:25851]
TMPRSS5,transmembrane serine protease 5 [Source:HGNC Symbol;Acc:HGNC:14908]
CD44,CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]
RPS7P1,ribosomal protein S7 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:17081]
GPSM1,G protein signaling modulator 1 [Source:HGNC Symbol;Acc:HGNC:17858]
TXNDC2,thioredoxin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:16470]
FAM57A,family with sequence similarity 57 member A [Source:HGNC Symbol;Acc:HGNC:29646]
RPS10P3,ribosomal protein S10 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:23684]
RPS20P14,ribosomal protein S20 pseudogene 14 [Source:HGNC Symbol;Acc:HGNC:36692]
KIAA1671,KIAA1671 [Source:HGNC Symbol;Acc:HGNC:29345]
PSMD1,"proteasome 26S subunit, non-ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9554]"
ANKS1B,ankyrin repeat and sterile alpha motif domain containing 1B [Source:HGNC Symbol;Acc:HGNC:24600]
SERINC2,serine incorporator 2 [Source:HGNC Symbol;Acc:HGNC:23231]
HLA-A,"major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]"
GTF2F2,general transcription factor IIF subunit 2 [Source:HGNC Symbol;Acc:HGNC:4653]
SRRM1,serine and arginine repetitive matrix 1 [Source:HGNC Symbol;Acc:HGNC:16638]
GSAP,gamma-secretase activating protein [Source:HGNC Symbol;Acc:HGNC:28042]
ACAD8,acyl-CoA dehydrogenase family member 8 [Source:HGNC Symbol;Acc:HGNC:87]
MVK,mevalonate kinase [Source:HGNC Symbol;Acc:HGNC:7530]
FOXP2,forkhead box P2 [Source:HGNC Symbol;Acc:HGNC:13875]
GALR2,galanin receptor 2 [Source:HGNC Symbol;Acc:HGNC:4133]
GUSBP1,"glucuronidase, beta pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:13670]"
ARPC4,actin related protein 2/3 complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:707]
AC111200.2,WW domain binding protein 1 (WBP1) pseudogene
COLEC12,collectin subfamily member 12 [Source:HGNC Symbol;Acc:HGNC:16016]
DHRS4-AS1,DHRS4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:23175]
DNAJB4,DnaJ heat shock protein family (Hsp40) member B4 [Source:HGNC Symbol;Acc:HGNC:14886]
TUBGCP3,tubulin gamma complex associated protein 3 [Source:HGNC Symbol;Acc:HGNC:18598]
UBQLN4,ubiquilin 4 [Source:HGNC Symbol;Acc:HGNC:1237]
TAF15,TATA-box binding protein associated factor 15 [Source:HGNC Symbol;Acc:HGNC:11547]
AC090587.1,uncharacterized LOC105376527 [Source:NCBI gene;Acc:105376527]
AC011445.1,"novel transcript, sense overlapping LRFN1"
SUOX,sulfite oxidase [Source:HGNC Symbol;Acc:HGNC:11460]
USPL1,ubiquitin specific peptidase like 1 [Source:HGNC Symbol;Acc:HGNC:20294]
LACTB2,lactamase beta 2 [Source:HGNC Symbol;Acc:HGNC:18512]
HPCA,hippocalcin [Source:HGNC Symbol;Acc:HGNC:5144]
AFG1L,AFG1 like ATPase [Source:HGNC Symbol;Acc:HGNC:16411]
AL499627.1,novel transcript
TTC39B,tetratricopeptide repeat domain 39B [Source:HGNC Symbol;Acc:HGNC:23704]
SLCO4A1-AS1,SLCO4A1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40537]
AC016583.1,tec
MAP3K11,mitogen-activated protein kinase kinase kinase 11 [Source:HGNC Symbol;Acc:HGNC:6850]
KCTD1,potassium channel tetramerization domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18249]
ABCG2,ATP binding cassette subfamily G member 2 (Junior blood group) [Source:HGNC Symbol;Acc:HGNC:74]
ANGPT4,angiopoietin 4 [Source:HGNC Symbol;Acc:HGNC:487]
FAM210A,family with sequence similarity 210 member A [Source:HGNC Symbol;Acc:HGNC:28346]
MAP4K3,mitogen-activated protein kinase kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6865]
AC003072.1,ribosomal protein L13a (RPL13A) pseudogene
YEATS4,YEATS domain containing 4 [Source:HGNC Symbol;Acc:HGNC:24859]
CPEB3,cytoplasmic polyadenylation element binding protein 3 [Source:HGNC Symbol;Acc:HGNC:21746]
MAGEA10,MAGE family member A10 [Source:HGNC Symbol;Acc:HGNC:6797]
AC092115.1,"non-POU domain containing, octamer-binding (NONO) pseudogene"
CTNNBL1,catenin beta like 1 [Source:HGNC Symbol;Acc:HGNC:15879]
LINC02253,long intergenic non-protein coding RNA 2253 [Source:HGNC Symbol;Acc:HGNC:53151]
CCDC102A,coiled-coil domain containing 102A [Source:HGNC Symbol;Acc:HGNC:28097]
AC117473.1,novel transcript
P2RX5,purinergic receptor P2X 5 [Source:HGNC Symbol;Acc:HGNC:8536]
AC025766.1,"novel transcript, sense intronic to C5orf36"
AP2B1,adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]
MDM4,"MDM4, p53 regulator [Source:HGNC Symbol;Acc:HGNC:6974]"
AC091271.1,novel transcript
SLC39A9,solute carrier family 39 member 9 [Source:HGNC Symbol;Acc:HGNC:20182]
IFT122,intraflagellar transport 122 [Source:HGNC Symbol;Acc:HGNC:13556]
MRPL33,mitochondrial ribosomal protein L33 [Source:HGNC Symbol;Acc:HGNC:14487]
ADGRV1,adhesion G protein-coupled receptor V1 [Source:HGNC Symbol;Acc:HGNC:17416]
NDUFA12,NADH:ubiquinone oxidoreductase subunit A12 [Source:HGNC Symbol;Acc:HGNC:23987]
STAG1,stromal antigen 1 [Source:HGNC Symbol;Acc:HGNC:11354]
ARL4D,ADP ribosylation factor like GTPase 4D [Source:HGNC Symbol;Acc:HGNC:656]
IL12B,interleukin 12B [Source:HGNC Symbol;Acc:HGNC:5970]
AC036222.1,novel transcript
EDA,ectodysplasin A [Source:HGNC Symbol;Acc:HGNC:3157]
WDR11,WD repeat domain 11 [Source:HGNC Symbol;Acc:HGNC:13831]
RPP25L,ribonuclease P/MRP subunit p25 like [Source:HGNC Symbol;Acc:HGNC:19909]
KIFC2,kinesin family member C2 [Source:HGNC Symbol;Acc:HGNC:29530]
TMF1,TATA element modulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:11870]
SLC9A9,solute carrier family 9 member A9 [Source:HGNC Symbol;Acc:HGNC:20653]
GDPD1,glycerophosphodiester phosphodiesterase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20883]
METTL14,methyltransferase like 14 [Source:HGNC Symbol;Acc:HGNC:29330]
AP4M1,adaptor related protein complex 4 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:574]
PTMA,prothymosin alpha [Source:HGNC Symbol;Acc:HGNC:9623]
AL353622.1,novel transcript
CMTM8,CKLF like MARVEL transmembrane domain containing 8 [Source:HGNC Symbol;Acc:HGNC:19179]
HOXC9,homeobox C9 [Source:HGNC Symbol;Acc:HGNC:5130]
MRPL10,mitochondrial ribosomal protein L10 [Source:HGNC Symbol;Acc:HGNC:14055]
ASPHD2,aspartate beta-hydroxylase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30437]
C5orf30,chromosome 5 open reading frame 30 [Source:HGNC Symbol;Acc:HGNC:25052]
HNRNPA1P8,heterogeneous nuclear ribonucleoprotein A1 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:39126]
RNF4,ring finger protein 4 [Source:HGNC Symbol;Acc:HGNC:10067]
HNRNPA1P12,heterogeneous nuclear ribonucleoprotein A1 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:39130]
ZNF414,zinc finger protein 414 [Source:HGNC Symbol;Acc:HGNC:20630]
CDC5L,cell division cycle 5 like [Source:HGNC Symbol;Acc:HGNC:1743]
PTGES2,prostaglandin E synthase 2 [Source:HGNC Symbol;Acc:HGNC:17822]
FBRS,fibrosin [Source:HGNC Symbol;Acc:HGNC:20442]
SRMS,src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites [Source:HGNC Symbol;Acc:HGNC:11298]
PRADC1,protease associated domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16047]
MAST3,microtubule associated serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:19036]
PPP5C,protein phosphatase 5 catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9322]
AP003071.5,novel protein
ATPAF2,ATP synthase mitochondrial F1 complex assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:18802]
MT-CO1,mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]
SCLY,selenocysteine lyase [Source:HGNC Symbol;Acc:HGNC:18161]
LCAT,lecithin-cholesterol acyltransferase [Source:HGNC Symbol;Acc:HGNC:6522]
ACHE,acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]
SNX27,sorting nexin family member 27 [Source:HGNC Symbol;Acc:HGNC:20073]
AC007279.1,ribosomal protein pseudogene
FGFR4,fibroblast growth factor receptor 4 [Source:HGNC Symbol;Acc:HGNC:3691]
TPST1,tyrosylprotein sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:12020]
STUB1,STIP1 homology and U-box containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11427]
SLC38A10,solute carrier family 38 member 10 [Source:HGNC Symbol;Acc:HGNC:28237]
HCLS1,hematopoietic cell-specific Lyn substrate 1 [Source:HGNC Symbol;Acc:HGNC:4844]
WNT11,Wnt family member 11 [Source:HGNC Symbol;Acc:HGNC:12776]
SLC35A1,solute carrier family 35 member A1 [Source:HGNC Symbol;Acc:HGNC:11021]
GNB4,G protein subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:20731]
AL358074.1,uncharacterized LOC51145 [Source:NCBI gene;Acc:51145]
MANEAL,mannosidase endo-alpha like [Source:HGNC Symbol;Acc:HGNC:26452]
NUBPL,nucleotide binding protein like [Source:HGNC Symbol;Acc:HGNC:20278]
ADCK2,aarF domain containing kinase 2 [Source:HGNC Symbol;Acc:HGNC:19039]
MRPL58,mitochondrial ribosomal protein L58 [Source:HGNC Symbol;Acc:HGNC:5359]
IRF2,interferon regulatory factor 2 [Source:HGNC Symbol;Acc:HGNC:6117]
OIP5-AS1,OIP5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43563]
MLF2,myeloid leukemia factor 2 [Source:HGNC Symbol;Acc:HGNC:7126]
DUSP3,dual specificity phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:3069]
AC055720.2,novel transcript
PPP6C,protein phosphatase 6 catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9323]
SFSWAP,splicing factor SWAP [Source:HGNC Symbol;Acc:HGNC:10790]
NBPF20,NBPF member 20 [Source:HGNC Symbol;Acc:HGNC:32000]
MTRF1,mitochondrial translation release factor 1 [Source:HGNC Symbol;Acc:HGNC:7469]
TATDN1,TatD DNase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24220]
SNORD17,"small nucleolar RNA, C/D box 17 [Source:HGNC Symbol;Acc:HGNC:32713]"
APLF,aprataxin and PNKP like factor [Source:HGNC Symbol;Acc:HGNC:28724]
SNU13,small nuclear ribonucleoprotein 13 [Source:HGNC Symbol;Acc:HGNC:7819]
AC093726.2,"novel transcript, antisense to PAXIP1"
PLRG1,pleiotropic regulator 1 [Source:HGNC Symbol;Acc:HGNC:9089]
AP000936.3,ribosomal protein S27 (metallopanstimulin 1) (RPS27) pseudogene
BRD4,bromodomain containing 4 [Source:HGNC Symbol;Acc:HGNC:13575]
CSNK1A1L,casein kinase 1 alpha 1 like [Source:HGNC Symbol;Acc:HGNC:20289]
AC009061.2,uncharacterized LOC101927837 [Source:NCBI gene;Acc:101927837]
SLC51A,solute carrier family 51 alpha subunit [Source:HGNC Symbol;Acc:HGNC:29955]
HMCES,"5-hydroxymethylcytosine binding, ES cell specific [Source:HGNC Symbol;Acc:HGNC:24446]"
USP41,ubiquitin specific peptidase 41 [Source:HGNC Symbol;Acc:HGNC:20070]
LPO,lactoperoxidase [Source:HGNC Symbol;Acc:HGNC:6678]
LIG4,DNA ligase 4 [Source:HGNC Symbol;Acc:HGNC:6601]
AL391244.3,novel transcript
PITX2,paired like homeodomain 2 [Source:HGNC Symbol;Acc:HGNC:9005]
ATAD3A,"ATPase family, AAA domain containing 3A [Source:HGNC Symbol;Acc:HGNC:25567]"
ARHGAP23,Rho GTPase activating protein 23 [Source:HGNC Symbol;Acc:HGNC:29293]
LINC00624,long intergenic non-protein coding RNA 624 [Source:HGNC Symbol;Acc:HGNC:44254]
TSTD1,thiosulfate sulfurtransferase like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:35410]
AC026401.3,novel transcript
LRRC41,leucine rich repeat containing 41 [Source:HGNC Symbol;Acc:HGNC:16917]
HAUS2,HAUS augmin like complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:25530]
APRT,adenine phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:626]
VIPR1,vasoactive intestinal peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:12694]
FBXL13,F-box and leucine rich repeat protein 13 [Source:HGNC Symbol;Acc:HGNC:21658]
SIGLEC16,sialic acid binding Ig like lectin 16 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:24851]
PAXBP1,PAX3 and PAX7 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:13579]
C1orf54,chromosome 1 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:26258]
SDC3,syndecan 3 [Source:HGNC Symbol;Acc:HGNC:10660]
KLHL12,kelch like family member 12 [Source:HGNC Symbol;Acc:HGNC:19360]
AL590093.1,novel transcript
FCRL6,Fc receptor like 6 [Source:HGNC Symbol;Acc:HGNC:31910]
GOT1,glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]
TAPT1,transmembrane anterior posterior transformation 1 [Source:HGNC Symbol;Acc:HGNC:26887]
CCDC113,coiled-coil domain containing 113 [Source:HGNC Symbol;Acc:HGNC:25002]
IRF4,interferon regulatory factor 4 [Source:HGNC Symbol;Acc:HGNC:6119]
MICAL3,"microtubule associated monooxygenase, calponin and LIM domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24694]"
AC120114.1,uncharacterized LOC107984836 [Source:NCBI gene;Acc:107984836]
MED4,mediator complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:17903]
AL133325.3,novel transcript
P4HA2,prolyl 4-hydroxylase subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8547]
